"Identificador de URL";"Nombre";"Categorías";"Imagen";"Precio";"Stock";"Descripción";"Mostrar en tienda";"Producto Físico"
"aerosol-[tropical]";"Aerosol Saphirus - Tropical";"Aerosoles";"image";4500.00;NO;"Fragancia frutal potente y extremadamente difusiva, que impacta inicialmente con su nota frutal fresca clara marina.";"SI";"SI"
"aerosol-[melon]";"Aerosol Saphirus - Melón";"Aerosoles";"image";4500.00;NO;"Deliciosa fragancia frutada que se muestra principalmente con un exquisito aroma a melón acompañado de notas verdes.";"SI";"SI"

"aerosol-[mandarina]";"Aerosol Saphirus - Mandarina";"Aerosoles";"image";4500.00;NO;"Exquisita fragancia cítrica dulce, con una salida de mandarina dulce floral con toques especiados balsámicos, difundiendo un aroma cítrico fresco persistente ligeramente almizclado especiado.";"SI";"SI"
"aerosol-[limon]";"Aerosol Saphirus - Limón";"Aerosoles";"image";4500.00;NO;"Fragancia cítrica verde, muy fresca, con toques de flor de naranja. Excelente difusión y persistencia dejando un aroma limpio y agradable.";"SI";"SI"
"aerosol-[lavanda]";"Aerosol Saphirus - Lavanda";"Aerosoles";"image";4500.00;NO;"Clásica fragancia que se abre con notas delicadas de flores de lavanda y sutiles destellos de romero en su cabeza. En su cuerpo se presenta con notas florales de rosa y jazmín que acompañan y suavizan la nota principal de la composición. Su fondo persistente y amaderado se compone de finas maderas de Cedro y Musgo.";"SI";"SI"
"aerosol-[flores-blancas]";"Aerosol Saphirus - Flores Blancas";"Aerosoles";"image";4500.00;NO;"Potente aroma floral dulce y fresco. En la salida el aroma del ciclamen y gardenia envuelto en la frescura de la flor de naranjo dulce deja paso a un difusivo aroma a flores de orquídea, jazmín e ylang ylang que se combinan con un dulce bálsamo almizclado de fondo.";"SI";"SI"
"aerosol-[fantasia]";"Aerosol Saphirus - Fantasía";"Aerosoles";"image";4500.00;NO;"Una fragancia cítrica y frutal con acentos tropicales y efervescentes.";"SI";"SI"
"aerosol-[etiqueta]";"Aerosol Saphirus - Etiqueta";"Aerosoles";"image";4500.00;NO;"Inspirado en fragancia de reconocida marca. Aroma elegante y masculino, se inicia con notas suaves, verdes ligeramente aromáticas. Albahaca, Hierbas cítricas y mandarina van dejando progresivamente lugar al floral muguet con toques amber. En el fondo, la madera de sándalo se combina con el almizcle, Patchouly y Vetiver.";"SI";"SI"
"aerosol-[daniel]";"Aerosol Saphirus - Daniel";"Aerosoles";"image";4500.00;NO;"Inspirado en fragancia de reconocida marca. Composición de salida muy fresca gracias a sus notas cítricas de bergamota y flor de naranjo. Su cuerpo se destaca por sus acordes florales de jazmín y muguet que se funden con un fondo de vainilla, maderas de sándalo y cedro, agregándole personalidad y distinción a la fragancia.";"SI";"SI"
"aerosol-[cony]";"Aerosol Saphirus - Cony";"Aerosoles";"image";4500.00;NO;"Muy agradable y difusiva fragancia infantil que explota con bergamota y notas verdes en su salida. Sus Flores blancas y notas de rosa de Bulgaria se entrelazan con el almizcle, las maderas de cedro y vainilla para formar un cálido y persistente fondo.";"SI";"SI"
"aerosol-[amour]";"Aerosol Saphirus - Amour";"Aerosoles";"image";4500.00;NO;"Inspirado en fragancia de reconocida marca. Un delicado aroma que revela un floral dulce mezclado con flores de cerezo y anís, juntos con el jazmín, y sándalo se envuelven en la suave sensualidad de la vainilla, del incienso y el amber gris.";"SI";"SI"
"aerosol-[naranja-y-chocolate]";"Aerosol Saphirus - Naranja y Chocolate";"Aerosoles";"image";4500.00;NO;"Fragancia de la familia olfativa cítrica Gourmand, contiene notas de naranjas aldehídicas con un mix de chocolate blanco y oscuro.";"SI";"SI"
"aerosol-[verbena]";"Aerosol Saphirus - Verbena";"Aerosoles";"image";4500.00;NO;"Delicioso acorde cítrico enriquecido con notas verdes de higo, menta y lavanda. En el fondo encontramos notas polvorosas de almizcle y vainilla.";"SI";"SI"

# "TEXTILES [74 productos]"
"Saphirus Textil [pistacho-caramel]";"Saphirus Textil Pistacho Caramel 250ml";"Textiles";"https://saphirus.com.ar/wp-content/uploads/2025/08/20250804-textil-pistacho-caramel-sf-saphirus-min-430x430.jpg";3.400,00;NO;"Es una fragancia floral dulce con toda la suavidad del pistacho y la dulzura del caramelo, juntos forman esta exquisita esencia con un toque gourmet acompañados con notas de vainilla y jazmin.";"SI";"SI"
"Saphirus Textil [textil-erba]";"Saphirus Textil Erba 250ml";"Textiles";"https://saphirus.com.ar/wp-content/uploads/2025/08/20250804-textil-erba-sf-saphirus-min-430x430.jpg";3.400,00;NO;"Es una deliciosa, fresca y moderna mezcla de cítricos mediterráneos y frutas dulces sobre una base oriental cálida y sensual.";"SI";"SI"
